iter	Passed	Remaining
0	1	134
1	2	122
2	3	113
3	4	104
4	5	104
5	6	101
6	7	99
7	8	98
8	9	96
9	10	96
10	11	95
11	12	94
12	13	92
13	14	91
14	15	90
15	16	88
16	17	87
17	18	86
18	19	84
19	20	83
20	21	82
21	22	81
22	23	80
23	24	79
24	26	78
25	27	77
26	28	76
27	29	75
28	30	73
29	31	72
30	32	72
31	33	71
32	34	70
33	35	68
34	36	67
35	37	66
36	38	65
37	39	64
38	40	63
39	41	62
40	42	61
41	43	59
42	44	58
43	45	57
44	46	56
45	47	55
46	48	54
47	49	53
48	50	52
49	51	51
50	52	50
51	53	49
52	54	48
53	55	47
54	56	45
55	57	44
56	58	43
57	59	42
58	60	41
59	61	40
60	62	39
61	63	38
62	64	37
63	65	36
64	66	35
65	67	34
66	68	33
67	69	32
68	71	31
69	72	30
70	73	29
71	74	28
72	75	27
73	76	26
74	77	25
75	78	24
76	79	23
77	80	22
78	81	21
79	82	20
80	83	19
81	85	18
82	86	17
83	87	16
84	88	15
85	89	14
86	90	13
87	91	12
88	92	11
89	93	10
90	94	9
91	95	8
92	97	7
93	98	6
94	99	5
95	100	4
96	101	3
97	102	2
98	103	1
99	104	0
